addr,old_name
0x0,sub_0
0x6C,sub_6C
0xE4,sub_E4
0x164,sub_164
0x1A8,sub_1A8
0x2D8,sub_2D8
0x340,sub_340
0x360,sub_360
0x870,sub_870
0x8CC,sub_8CC
0x8E0,sub_8E0
0x9CC,sub_9CC
0xA10,sub_A10
0xD54,sub_D54
0xF30,sub_F30
0x10FC,sub_10FC
0x1268,sub_1268
0x13D0,sub_13D0
0x1558,sub_1558
0x16E8,sub_16E8
0x18CC,sub_18CC
0x1A80,sub_1A80
0x1C34,sub_1C34
0x1DD8,sub_1DD8
0x1F5C,sub_1F5C
0x2108,sub_2108
0x2298,sub_2298
0x2404,sub_2404
0x2530,sub_2530
0x26C0,sub_26C0
0x2C10,sub_2C10
0x2D48,sub_2D48
0x2E80,sub_2E80
0x3024,sub_3024
0x3178,sub_3178
0x3430,sub_3430
0x3644,sub_3644
0x3778,sub_3778
0x3A24,sub_3A24
0x3AF4,sub_3AF4
0x3EC0,sub_3EC0
0x3F04,sub_3F04
0x4004,sub_4004
0x40F0,sub_40F0
0x4228,sub_4228
0x42E8,sub_42E8
0x4398,sub_4398
0x444C,sub_444C
0x4514,sub_4514
0x45F8,sub_45F8
0x469C,sub_469C
0x46A4,sub_46A4
0x46C4,sub_46C4
0x46D4,sub_46D4
0x46E4,sub_46E4
0x4700,sub_4700
0x4718,sub_4718
0x4788,sub_4788
0x47C8,sub_47C8
0x4814,sub_4814
0x4854,sub_4854
0x48A0,sub_48A0
0x48E0,sub_48E0
0x49FC,sub_49FC
0x4BA8,sub_4BA8
0x4E60,sub_4E60
0x4F44,sub_4F44
0x5000,sub_5000
0x5050,sub_5050
0x50A0,sub_50A0
0x50F0,sub_50F0
0x5140,sub_5140
0x5190,sub_5190
0x5248,sub_5248
0x5298,sub_5298
0x5350,sub_5350
0x5430,sub_5430
0x5584,sub_5584
0x56C0,sub_56C0
0x56F0,sub_56F0
0x58BC,sub_58BC
0x5918,sub_5918
0x59A8,sub_59A8
0x5A40,sub_5A40
0x5AD4,sub_5AD4
0x5AF4,sub_5AF4
0x5B14,sub_5B14
0x5B64,sub_5B64
0x5BF8,sub_5BF8
0x5C8C,sub_5C8C
0x5D20,sub_5D20
0x5DB4,sub_5DB4
0x5E48,sub_5E48
0x5EDC,sub_5EDC
0x5F70,sub_5F70
0x6004,sub_6004
0x6098,sub_6098
0x612C,sub_612C
0x61C0,sub_61C0
0x61E0,sub_61E0
0x6200,sub_6200
0x6220,sub_6220
0x6228,sub_6228
0x6230,sub_6230
0x626C,sub_626C
0x6274,sub_6274
0x6388,sub_6388
0x6394,sub_6394
0x639C,sub_639C
0x63A4,sub_63A4
0x63D0,sub_63D0
0x64E0,sub_64E0
0x64EC,sub_64EC
0x64F4,sub_64F4
0x64FC,sub_64FC
0x6520,sub_6520
0x66F8,sub_66F8
0x6800,sub_6800
0x680C,sub_680C
0x6814,sub_6814
0x681C,sub_681C
0x6850,sub_6850
0x6970,sub_6970
0x697C,sub_697C
0x6984,sub_6984
0x698C,sub_698C
0x69C0,sub_69C0
0x6AD4,sub_6AD4
0x6AE0,sub_6AE0
0x6AE8,sub_6AE8
0x6AF0,sub_6AF0
0x6B14,sub_6B14
0x6C30,sub_6C30
0x6C3C,sub_6C3C
0x6C44,sub_6C44
0x6C4C,sub_6C4C
0x6C80,sub_6C80
0x6DB0,sub_6DB0
0x6DBC,sub_6DBC
0x6DC4,sub_6DC4
0x6DCC,sub_6DCC
0x6E10,sub_6E10
0x6F34,sub_6F34
0x6F40,sub_6F40
0x6F48,sub_6F48
0x6F50,sub_6F50
0x6F88,sub_6F88
0x6FC0,sub_6FC0
0x6FF8,sub_6FF8
0x7030,sub_7030
0x7068,sub_7068
0x70A0,sub_70A0
0x70D4,sub_70D4
0x7108,sub_7108
0x713C,sub_713C
0x7170,sub_7170
0x7260,sub_7260
0x7294,sub_7294
0x72C0,sub_72C0
0x72F4,sub_72F4
0x7320,sub_7320
0x735C,sub_735C
0x7398,sub_7398
0x73D8,sub_73D8
0x7418,sub_7418
0x7458,sub_7458
0x7498,sub_7498
0x74D0,sub_74D0
0x7508,sub_7508
0x7540,sub_7540
0x757C,sub_757C
0x75B4,sub_75B4
0x75E0,sub_75E0
0x7614,sub_7614
0x7648,sub_7648
0x77D4,sub_77D4
0x7868,sub_7868
0x7898,sub_7898
0x792C,sub_792C
0x7A50,nullsub_1
0x7A74,sub_7A74
0x7A98,sub_7A98
0x7ABC,sub_7ABC
0x7AC4,sub_7AC4
0x7AE8,sub_7AE8
0x7B0C,sub_7B0C
0x7B14,sub_7B14
0x7B1C,sub_7B1C
0x7B24,sub_7B24
0x7B2C,sub_7B2C
0x7B34,sub_7B34
0x7B3C,sub_7B3C
0x7B60,sub_7B60
0x7B68,sub_7B68
0x7B70,sub_7B70
0x7B78,sub_7B78
0x7B80,sub_7B80
0x7B88,sub_7B88
0x7B90,sub_7B90
0x7BB4,sub_7BB4
0x7BBC,sub_7BBC
0x7BC4,sub_7BC4
0x7BCC,sub_7BCC
0x7BD4,sub_7BD4
0x7BDC,sub_7BDC
0x7C00,sub_7C00
0x7C08,sub_7C08
0x7C10,sub_7C10
0x7C18,sub_7C18
0x7C3C,sub_7C3C
0x7C44,sub_7C44
0x7C4C,sub_7C4C
0x7C54,sub_7C54
0x7C5C,sub_7C5C
0x7C80,sub_7C80
0x7C88,sub_7C88
0x7C90,sub_7C90
0x7C98,sub_7C98
0x7CA0,sub_7CA0
0x7CC4,sub_7CC4
0x7CCC,sub_7CCC
0x7CF0,sub_7CF0
0x7CF8,sub_7CF8
0x7D00,sub_7D00
0x7D08,sub_7D08
