addr,old_name
0x0,sub_0
0x14,sub_14
0x28,sub_28
0x3C,sub_3C
0x54,sub_54
0x6C,sub_6C
0x84,sub_84
0x9C,sub_9C
0xB0,sub_B0
0xC8,sub_C8
0xE0,sub_E0
0xF4,sub_F4
0x108,sub_108
0x11C,sub_11C
0x130,sub_130
0x144,sub_144
0x154,sub_154
0x164,sub_164
0x178,sub_178
0x18C,sub_18C
0x1AC,sub_1AC
0x1D4,sub_1D4
0x2FC,sub_2FC
0x324,sub_324
0x584,sub_584
0x5C0,sub_5C0
0x81C,sub_81C
0x874,sub_874
0x8A4,sub_8A4
0x8D4,sub_8D4
0x904,sub_904
0x954,sub_954
0x9A4,sub_9A4
0x9F4,sub_9F4
0xA44,sub_A44
0xA94,sub_A94
0xAEC,sub_AEC
0xB14,sub_B14
0xB24,sub_B24
0xB34,sub_B34
0xB44,sub_B44
0xB54,sub_B54
0xBCC,sub_BCC
0xC00,sub_C00
0xC34,sub_C34
0xD78,nullsub_1
0xD94,sub_D94
0xDB8,sub_DB8
0xDC0,sub_DC0
0xDC8,sub_DC8
0xDD0,sub_DD0
0xDD8,sub_DD8
0xDE0,sub_DE0
0xE04,sub_E04
0xE28,sub_E28
0xE30,sub_E30
0xE38,sub_E38
0xE40,sub_E40
0xE48,sub_E48
0xE6C,sub_E6C
0xE74,sub_E74
0xE7C,sub_E7C
0xEA0,sub_EA0
0xEA8,sub_EA8
0xEB0,sub_EB0
0xEB8,sub_EB8
0xEC0,sub_EC0
0xEE4,sub_EE4
0xEEC,sub_EEC
0xEF4,sub_EF4
0xEFC,sub_EFC
0xF20,sub_F20
0xF28,sub_F28
0xF30,sub_F30
