name,start,end,size
entry,0x00100008,0x00100218,0x210
sub_100220,0x00100220,0x00100250,0x30
CopyQW,0x001002b0,0x001002d0,0x20
ZeroQW,0x001003d8,0x001003f0,0x18
WriteBMP,0x00100420,0x00100d38,0x918
HankakuToZenkaku,0x00100d40,0x00100df4,0xb4
ShiftJisToJis,0x00100e00,0x00100edc,0xdc
mem_sub_0ee0,0x00100ee0,0x001010a8,0x1c8
sub_1010B0,0x001010b0,0x0010122c,0x17c
sub_101230,0x00101230,0x0010148c,0x25c
mem_compare_n,0x00101490,0x00101db4,0x924
sub_101DC0,0x00101dc0,0x00102420,0x660
singleton_lazy_init_b_0_clone_01,0x00102420,0x001024d0,0xb0
sub_1024D0,0x001024d0,0x00102560,0x90
sub_102560,0x00102560,0x00102668,0x108
InitGsDisplay,0x00102670,0x0010286c,0x1fc
GS_DispatchPending,0x00102870,0x00102a54,0x1e4
pool_entry_push,0x00102a60,0x00102d6c,0x30c
semaphore_queue_push,0x00102d70,0x00102f50,0x1e0
sub_102F50,0x00102f50,0x0010300c,0xbc
sub_103010,0x00103010,0x001030bc,0xac
GS_ReadTexture,0x001030c0,0x00103598,0x4d8
obj_set_fields_6,0x001035a0,0x00103618,0x78
sub_103620,0x00103620,0x00103a74,0x454
return_const_64,0x00103a80,0x00103a88,0x8
noop_wrapper_4,0x00103a90,0x00103ad4,0x44
sub_103AE0,0x00103ae0,0x00103b14,0x34
sub_103B20,0x00103b20,0x00103b3c,0x1c
sub_103B40,0x00103b40,0x00103b7c,0x3c
sub_103B80,0x00103b80,0x00103be0,0x60
heap_alloc_aligned,0x00103be0,0x00103c40,0x60
noop_wrapper_2,0x00103c40,0x00103cd4,0x94
sub_103CE0,0x00103ce0,0x00103ddc,0xfc
wrap_sub_110130,0x00103de0,0x00103e10,0x30
SemaphoreWait,0x00103e10,0x00103e20,0x10
SemaphorePoll,0x00103e20,0x00103e30,0x10
SemaphoreSignal,0x00103e30,0x00103e40,0x10
sub_103E40,0x00103e40,0x00103f28,0xe8
sub_103F50,0x00103f50,0x00103ff8,0xa8
sub_104000,0x00104000,0x001042e8,0x2e8
sub_1042F0,0x001042f0,0x001045f8,0x308
sub_104600,0x00104600,0x001048f8,0x2f8
set_global_var_b,0x00104900,0x00104918,0x18
sub_104920,0x00104920,0x001049f4,0xd4
obj_set_fields___178_0,0x00104a00,0x00104ab0,0xb0
obj_set_flag,0x00104ab0,0x00104ae8,0x38
return_const_1,0x00104af0,0x00104af8,0x8
gp_fields_clear,0x00104b00,0x00104b28,0x28
sub_104B30,0x00104b30,0x00104be4,0xb4
SyncFrame,0x00104c00,0x00104cd4,0xd4
sub_104CE0,0x00104ce0,0x00104f1c,0x23c
sub_104F20,0x00104f20,0x00105670,0x750
state_byte_transition_1,0x00105670,0x001062ec,0xc7c
GS_SetDisplayMode,0x001062f0,0x001065bc,0x2cc
sub_1065C0,0x001065c0,0x001065ec,0x2c
noop_wrapper_b_2,0x001065f0,0x0010662c,0x3c
sub_106630,0x00106630,0x00106794,0x164
wrap_sub_106630,0x001067a0,0x001067d8,0x38
sub_1067E0,0x001067e0,0x00106844,0x64
vu_matrix_load,0x00106850,0x001068d8,0x88
vu_matrix_load,0x001068e0,0x00106950,0x70
vec3f_normalize,0x00106950,0x001069c0,0x70
vec3f_length,0x001069c0,0x00106a14,0x54
vec4f_transform_by_mat4,0x00106a20,0x00106a98,0x78
mat4_orthonormalize,0x00106aa0,0x00106b68,0xc8
vu_matrix_load_b,0x00106b70,0x00106bd8,0x68
vu_matrix_load_b,0x00106be0,0x001070f0,0x510
vu_matrix_load_c,0x001070f0,0x00107600,0x510
vu_matrix_load_d,0x00107600,0x001077d0,0x1d0
vu_matrix_load_c,0x001077d0,0x001079a4,0x1d4
vu_matrix_load,0x001079b0,0x00107b84,0x1d4
obj_set_fields,0x00107b90,0x00107bb8,0x28
vu_matrix_load_e,0x00107bc0,0x00107c70,0xb0
vu_matrix_load_f,0x00107c70,0x00107e24,0x1b4
vu_matrix_load_g,0x00107e30,0x00108218,0x3e8
mat4_multiply,0x00108220,0x00108298,0x78
Matrix4_Copy,0x001082a0,0x001082c4,0x24
vu_matrix_load_d,0x001082d0,0x001082fc,0x2c
sub_108300,0x00108300,0x001083e4,0xe4
sub_1083F0,0x001083f0,0x00108454,0x64
sub_108460,0x00108460,0x001084c4,0x64
PadSysInit_clone_01,0x001084d0,0x00108720,0x250
sub_108720,0x00108720,0x001087ac,0x8c
sub_1087B0,0x001087b0,0x00108998,0x1e8
set_global_var_d,0x001089a0,0x001089ac,0xc
noop_wrapper_c_4,0x001089b0,0x001089cc,0x1c
sub_1089D0,0x001089d0,0x00108a1c,0x4c
mem_fill_1,0x00108a20,0x00108ad8,0xb8
mem_fill_b_0,0x00108ae0,0x00108b8c,0xac
noop_wrapper_d_4,0x00108b90,0x00108bb4,0x24
sub_108BC0,0x00108bc0,0x001091dc,0x61c
sub_1091E0,0x001091e0,0x00109464,0x284
sub_109470,0x00109470,0x001096f4,0x284
mem_compare_n_0_clone_01,0x00109700,0x001097d4,0xd4
sub_1097E0,0x001097e0,0x001098f8,0x118
mem_compare_n_0_clone_02,0x00109900,0x00109da0,0x4a0
obj_sub_ca60_clone_01,0x00109da0,0x00109e80,0xe0
PadSysInit,0x00109e80,0x00109fe0,0x160
mem_fill_c_0,0x00109fe0,0x0010a938,0x958
fighter_track_advance_clone_01,0x0010a940,0x0010b2f4,0x9b4
event_entry_set,0x0010b300,0x0010b344,0x44
sub_10B350,0x0010b350,0x0010b458,0x108
vu_matrix_load_h,0x0010b460,0x0010b540,0xe0
vu_matrix_load_i,0x0010b540,0x0010be54,0x914
sub_10BE60,0x0010be60,0x0010bf58,0xf8
obj_set_fields___28_0,0x0010bf60,0x0010c26c,0x30c
sub_10C270,0x0010c270,0x0010c32c,0xbc
sub_10C330,0x0010c330,0x0010c400,0xd0
noop_wrapper,0x0010c400,0x0010c424,0x24
sub_10C430,0x0010c430,0x0010c480,0x50
sub_10C480,0x0010c480,0x0010c598,0x118
CApp_CharaVS_Update_clone_01,0x0010c5a0,0x0010c97c,0x3dc
sub_10C980,0x0010c980,0x0010ca4c,0xcc
sub_10CA50,0x0010ca50,0x0010cc68,0x218
sub_10CC70,0x0010cc70,0x0010ce00,0x190
sub_10CE00,0x0010ce00,0x0010cef8,0xf8
sub_10CF00,0x0010cf00,0x0010d064,0x164
sub_10D070,0x0010d070,0x0010d23c,0x1cc
sub_10D240,0x0010d240,0x0010d400,0x1c0
scene_graph_flush_clone_01,0x0010d400,0x0010d534,0x134
scene_node_set_visible_clone_01,0x0010d540,0x0010d5c8,0x88
singleton_lazy_init_y_clone_01,0x0010d5d0,0x0010d6e8,0x118
euler_to_quat_0_clone_01,0x0010d6f0,0x0010d7b0,0xc0
