t_ms,status,w6tick,wbusy,wdisp,wexit,wtid,savepri,savetid,crinest,svmnest,d5fn,d5arg,g688,g674,tshook,tsflag,sl0,sl1,sl2,sl3,sl4,sl5,sl6,sl7,h40,h44,h48,h4c,h92,d6n,d6in,d5n,boost,g36,done,cur,gamemode
0.3,Running,1234,0,0,0,10,25,10,0,1,1396648,4970448,0,1,0,0,28388544,0,0,0,0,0,0,0,16384,0,4,4,0,1234,0,292,1,0,0,28388544,0
100.4,Running,1250,0,0,0,10,25,10,0,1,1396648,4970448,0,1,0,0,28388544,0,0,0,0,0,0,0,16384,0,4,4,0,1250,0,298,1,0,0,28388544,0
200.7,Running,1263,0,0,0,10,25,10,0,1,1396648,4970448,0,1,0,0,28388544,0,0,0,0,0,0,0,16384,0,4,4,0,1263,0,304,1,0,0,28388544,0
300.8,Running,1269,0,0,0,10,25,10,0,1,1396648,4970448,0,1,0,0,28388544,0,0,0,0,0,0,0,16384,0,4,4,0,1269,0,310,1,0,0,28388544,0
400.8,Running,1275,0,0,0,10,25,10,0,1,1396648,4970448,0,1,0,0,28388544,0,0,0,0,0,0,0,16384,0,4,4,0,1275,0,316,1,0,0,28388544,0
500.7,Running,1281,0,0,0,10,25,10,0,1,1396648,4970448,0,1,0,0,28388544,0,0,0,0,0,0,0,16384,0,4,4,0,1281,0,322,1,0,0,28388544,0
600.4,Running,1287,0,0,0,10,25,10,0,1,1396648,4970448,0,1,0,0,28388544,0,0,0,0,0,0,0,16384,0,4,4,0,1287,0,328,1,0,0,28388544,0
700.3,Running,1293,0,0,0,10,25,10,0,1,1396648,4970448,0,1,0,0,28388544,0,0,0,0,0,0,0,16384,0,4,4,0,1293,0,334,1,0,0,28388544,0
800.7,Running,1299,0,0,0,10,25,10,0,1,1396648,4970448,0,1,0,0,28388544,0,0,0,0,0,0,0,16384,0,4,4,0,1299,0,340,1,0,0,28388544,0
900.7,Running,1305,0,0,0,10,25,10,0,1,1396648,4970448,0,1,0,0,28388544,0,0,0,0,0,0,0,16384,0,4,4,0,1305,0,346,1,0,0,28388544,0
