t_ms,status,unreadable,sentinel,w6tick,wbusy,wdisp,wexit,wtid,savepri,savetid,crinest,svmnest,d5fn,d5arg,g688,g674,tshook,tsflag,sl0,sl1,sl2,sl3,sl4,sl5,sl6,sl7,h40,h44,h48,h4c,h92,d6n,d6in,d5n,boost,g36,done,cur,gamemode
0.2,Running,0,1879051304,31369,0,0,0,38,25,38,0,1,1396648,4970448,0,1,0,0,28388544,0,0,0,0,0,0,0,16384,0,4,4,0,31369,0,3139,1,0,0,28388544,0
100.7,Running,0,1879051304,31384,0,0,0,38,25,38,0,1,1396648,4970448,0,1,0,0,28388544,0,0,0,0,0,0,0,16384,0,4,4,0,31384,0,3145,1,0,0,28388544,0
200.8,Running,0,1879051304,31399,0,0,0,38,25,38,0,1,1396648,4970448,0,1,0,0,28388544,0,0,0,0,0,0,0,16384,0,4,4,0,31399,0,3151,1,0,0,28388544,0
300.6,Running,0,1879051304,31414,0,0,0,38,25,38,0,1,1396648,4970448,0,1,0,0,28388544,0,0,0,0,0,0,0,16384,0,4,4,0,31414,0,3157,1,0,0,28388544,0
400.4,Running,0,1879051304,31429,0,0,0,38,25,38,0,1,1396648,4970448,0,1,0,0,28388544,0,0,0,0,0,0,0,16384,0,4,4,0,31429,0,3163,1,0,0,28388544,0
500.3,Running,0,1879051304,31444,0,0,0,38,25,38,0,1,1396648,4970448,0,1,0,0,28388544,0,0,0,0,0,0,0,16384,0,4,4,0,31444,0,3169,1,0,0,28388544,0
600.7,Running,0,1879051304,31456,0,0,0,38,25,38,0,1,1396648,4970448,0,1,0,0,28388544,0,0,0,0,0,0,0,16384,0,4,4,0,31456,0,3175,1,0,0,28388544,0
700.7,Running,0,1879051304,31465,0,0,0,38,25,38,0,1,1396648,4970448,0,1,0,0,28388544,0,0,0,0,0,0,0,16384,0,4,4,0,31465,0,3181,1,0,0,28388544,0
800.4,Running,0,1879051304,31475,0,0,0,38,25,38,0,1,1396648,4970448,0,1,0,0,28388544,0,0,0,0,0,0,0,16384,0,4,4,0,31475,0,3187,1,0,0,28388544,0
900.7,Running,0,1879051304,31484,0,0,0,38,25,38,0,1,1396648,4970448,0,1,0,0,28388544,0,0,0,0,0,0,0,16384,0,4,4,0,31484,0,3193,1,0,0,28388544,0
